"note_id","client_id","note_text","note_date","linked_transaction_id"
"N0351","CL000004","End-of-period relationship review completed. Client comfortable with service and execution.","2025-09-30",""
"N0352","CL000004","Client discussed two October debits: small EUR credit from First Investments (CHF 453) and CHF wire from Omega Wealth Limited (CHF 220). Routine activity.","2024-10-13","TR00000772|TR00000774"
"N0353","CL000004","Follow-up call regarding November USD wire of approximately CHF 7.4k to International Asset Holdings. Client satisfied with execution.","2024-11-15","TR00000806"
"N0354","CL000004","Client traveling to North America for 3 weeks. Updated contact preferences and emergency contacts. All communication via secure email only.","2024-10-18",""
"N0355","CL000004","Reviewed late December outgoing GBP wire of approximately CHF 1.8k to Global Wealth GmbH. Client confirmed purpose.","2024-12-18","TR00000819"
"N0356","CL000004","Confirmed details for incoming security credit: Alpha Partners. Client satisfied with execution timeline and investment rationale.","2024-11-25","TR00000801"
"N0357","CL000004","Client meeting notes: Discussed January USD credit of approximately CHF 7.4k from Prime Corp. Counterparty approved by compliance. Processing timeline confirmed.","2025-01-23","TR00000833"
"N0358","CL000004","Batch payment instruction received: two February credits from Elite Holdings (EUR ~1.4k) and Beta Financial Limited (CNY ~389). Client authorized same-day settlement.","2025-02-17","TR00000842|TR00000856"
"N0359","CL000004","Succession planning discussion. Client considering gradual wealth transfer to next generation. Referred to trust and estate specialists.","2025-03-20",""
"N0360","CL000004","Confirmed incoming EUR wire of approximately CHF 4.1k from Prime Trade GmbH. Client acknowledged receipt.","2025-03-29","TR00000865"
"N0361","CL000004","Client signature verification for new investment mandate. Documents returned, currently in processing. Expected completion within 5 business days.","2025-04-10",""
"N0362","CL000004","Reviewed mid-April outgoing USD wire of approximately CHF 2.8k to Premier Group. Client confirmed beneficiary details.","2025-04-16","TR00000898"
"N0363","CL000004","Annual regulatory reporting completed. Client copy sent via secure delivery. No questions or concerns raised.","2025-05-02",""
"N0364","CL000004","Client requested historical statements for tax filing purposes. Provided via secure channel.","2025-05-25",""
"N0365","CL000004","Confirmed details for multiple June debits: Elite Group (CHF 4.0k) and Premier Trading (EUR ~473). Client satisfied with execution timelines.","2025-06-23","TR00000931|TR00000922"
"N0366","CL000004","Updated beneficial owner information per client notification. Compliance review in progress. Account fully operational.","2025-06-28",""
"N0367","CL000004","Discussed upcoming regulatory changes to cross-border reporting. Client acknowledged requirements. No concerns raised.","2025-07-05",""
"N0368","CL000004","Client inquiry about sustainable investment options. Sent ESG portfolio framework document. Follow-up call scheduled.","2025-07-20",""
"N0369","CL000004","End-of-month reconciliation call. Client satisfied with August activity. No discrepancies noted.","2025-08-28",""
"N0370","CL000004","Confirmed incoming EUR wire of approximately CHF 1.5k from Beta GmbH. Routine confirmation provided.","2025-08-29","TR00000973"
"N0371","CL000004","Reviewed September outgoing CHF wire of approximately CHF 3.7k to Prime Capital. Client confirmed strategic allocation.","2025-09-05","TR00000990"
"N0372","CL000004","Client raised concerns about market volatility. Reviewed portfolio stress tests. Comfortable with current diversification.","2025-09-16",""
